Year,Month,Day,Hour,Rainfall_mm,SolarRadiation_Wm2,Temperature_C,WindSpeed_mps,WindDirection_deg
2015,1,1.1,0,0.0,25.53,18.68,2.39,162.86
2015,1,1.0,1,0.0,25.49,18.2,1.87,155.61
2015,1,1.0,2,0.0,29.63,18.23,2.03,141.82
2015,1,1.0,3,0.0,203.54,19.64,2.67,148.87
2015,1,1.0,4,0.0,436.56,21.12,2.63,156.17
2015,1,1.0,5,0.0,687.95,22.5,3.38,166.69
2015,1,1.0,6,0.0,850.43,23.44,3.62,179.13
2015,1,1.0,7,0.0,980.61,24.28,3.57,185.57
2015,1,1.0,8,0.0,1089.75,24.91,3.82,183.17
2015,1,1.0,9,0.0,1091.1,25.46,4.22,181.73
2015,1,1.0,10,0.0,1091.77,25.62,4.21,178.42
2015,1,1.0,11,0.0,1010.6,25.37,4.0,170.95
2015,1,1.0,12,0.0,287.89,24.77,3.84,163.35
2015,1,1.0,13,0.0,25.93,23.5,3.0,157.17
2015,1,1.0,14,0.0,25.87,22.53,2.58,152.57
2015,1,1.0,15,0.0,25.81,21.74,2.23,151.15
2015,1,1.0,16,0.0,25.76,21.08,2.47,149.91
2015,1,1.0,17,0.0,25.71,20.47,2.61,145.72
2015,1,1.0,18,0.0,25.67,19.87,2.91,147.74
2015,1,1.0,19,0.01,25.62,19.31,2.78,145.11
2015,1,1.0,20,0.02,25.58,18.88,2.94,147.56
2015,1,1.0,21,0.01,37.98,18.67,3.22,148.93
2015,1,1.0,22,0.01,65.65,18.74,3.4,151.83
2015,1,1.0,23,0.01,100.27,18.8,3.38,157.1
2015,1,2.0,0,0.0,100.26,18.78,3.06,158.84
2015,1,2.0,1,0.0,117.42,18.83,2.84,159.32
2015,1,2.0,2,0.0,129.53,18.9,2.61,157.58
2015,1,2.0,3,0.0,171.57,19.08,2.54,159.26
2015,1,2.0,4,0.0,256.44,19.5,2.58,163.47
2015,1,2.0,5,0.0,323.83,20.14,2.61,162.24
2015,1,2.0,6,0.0,412.88,21.06,2.77,161.69
2015,1,2.0,7,0.0,637.5,22.89,3.21,160.06
2015,1,2.0,8,0.0,852.92,24.43,3.64,163.31
2015,1,2.0,9,0.0,1091.67,25.41,3.94,167.05
2015,1,2.0,10,0.0,1092.52,25.9,4.02,167.41
2015,1,2.0,11,0.0,1092.45,25.89,3.89,167.34
2015,1,2.0,12,0.0,115.38,25.4,3.53,167.35
2015,1,2.0,13,0.0,25.94,23.89,3.05,164.85
2015,1,2.0,14,0.0,25.86,22.79,3.07,166.13
2015,1,2.0,15,0.0,25.78,21.83,2.83,163.24
2015,1,2.0,16,0.0,25.72,21.04,2.85,156.08
2015,1,2.0,17,0.0,25.67,20.28,3.1,147.7
2015,1,2.0,18,0.0,25.62,19.54,3.49,144.88
2015,1,2.0,19,0.0,54.26,18.99,3.53,146.15
2015,1,2.0,20,0.0,52.32,18.64,3.4,146.32
2015,1,2.0,21,0.0,76.78,18.51,3.26,151.98
2015,1,2.0,22,0.0,95.2,18.63,3.1,158.4
2015,1,2.0,23,0.0,101.25,18.63,2.98,163.91
2015,1,3.0,0,0.0,117.41,18.64,2.88,165.96
2015,1,3.0,1,0.0,117.39,18.64,2.73,166.62
2015,1,3.0,2,0.0,144.39,18.67,2.73,167.85
2015,1,3.0,3,0.0,229.07,18.81,2.94,166.67
2015,1,3.0,4,0.0,302.8,19.13,2.83,165.05
2015,1,3.0,5,0.0,353.02,19.59,2.52,166.36
2015,1,3.0,6,0.0,411.91,20.48,2.27,170.23
2015,1,3.0,7,0.0,622.71,22.25,2.21,170.62
2015,1,3.0,8,0.0,850.6,23.93,2.27,172.0
2015,1,3.0,9,0.0,1061.96,24.94,2.25,173.59
2015,1,3.0,10,0.0,1090.29,25.47,2.17,171.43
2015,1,3.0,11,0.0,1090.79,25.56,2.05,169.27
2015,1,3.0,12,0.0,206.09,25.23,1.84,167.99
2015,1,3.0,13,0.0,25.93,24.15,1.69,160.36
2015,1,3.0,14,0.0,25.84,23.0,1.38,143.02
2015,1,3.0,15,0.0,25.76,22.09,1.22,120.21
2015,1,3.0,16,0.0,25.7,21.38,1.4,106.58
