Date,Route_ID,Route_Name,Time_Slot,Weather_Condition,Temperature_C_x,Rainfall_mm_x,Passenger_Count,Year,Month,Day,Hour,Rainfall_mm_y,SolarRadiation_Wm2,Temperature_C_y,WindSpeed_mps,WindDirection_deg,Live_Congestion,Usual_Congestion,Live_Speed_kmph,Delay_Minutes,Accident_Risk_Level
2025-01-01,R1,Majestic to Whitefield,Morning,Cloudy,20.9,0.0,181,2025.0,1.0,1.0,9.0,,,,,,58.0,50.0,15.5,7.5,Medium
2025-01-01,R1,Majestic to Whitefield,Afternoon,Foggy,24.0,0.0,148,2025.0,1.0,1.0,9.0,,,,,,58.0,50.0,15.5,7.5,Medium
2025-01-01,R1,Majestic to Whitefield,Evening,Sunny,28.6,0.0,176,2025.0,1.0,1.0,9.0,,,,,,58.0,50.0,15.5,7.5,Medium
2025-01-01,R1,Majestic to Whitefield,Night,Sunny,27.5,0.0,58,2025.0,1.0,1.0,9.0,,,,,,58.0,50.0,15.5,7.5,Medium
2025-01-01,R2,Majestic to BTM,Morning,Rainy,20.9,8.1,109,2025.0,1.0,1.0,9.0,,,,,,58.0,50.0,15.5,7.5,Medium
2025-01-01,R2,Majestic to BTM,Afternoon,Rainy,22.3,4.7,48,2025.0,1.0,1.0,9.0,,,,,,58.0,50.0,15.5,7.5,Medium
2025-01-01,R2,Majestic to BTM,Evening,Sunny,24.1,0.0,44,2025.0,1.0,1.0,9.0,,,,,,58.0,50.0,15.5,7.5,Medium
2025-01-01,R2,Majestic to BTM,Night,Sunny,31.1,0.0,41,2025.0,1.0,1.0,9.0,,,,,,58.0,50.0,15.5,7.5,Medium
2025-01-01,R3,Silk Board to Hebbal,Morning,Foggy,22.0,0.0,199,2025.0,1.0,1.0,9.0,,,,,,58.0,50.0,15.5,7.5,Medium
2025-01-01,R3,Silk Board to Hebbal,Afternoon,Cloudy,29.8,0.0,125,2025.0,1.0,1.0,9.0,,,,,,58.0,50.0,15.5,7.5,Medium
2025-01-01,R3,Silk Board to Hebbal,Evening,Sunny,30.6,0.0,84,2025.0,1.0,1.0,9.0,,,,,,58.0,50.0,15.5,7.5,Medium
2025-01-01,R3,Silk Board to Hebbal,Night,Foggy,20.9,0.0,68,2025.0,1.0,1.0,9.0,,,,,,58.0,50.0,15.5,7.5,Medium
2025-01-01,R4,KR Market to Yeshwantpur,Morning,Rainy,20.4,5.9,85,2025.0,1.0,1.0,9.0,,,,,,58.0,50.0,15.5,7.5,Medium
2025-01-01,R4,KR Market to Yeshwantpur,Afternoon,Cloudy,26.0,0.0,60,2025.0,1.0,1.0,9.0,,,,,,58.0,50.0,15.5,7.5,Medium
2025-01-01,R4,KR Market to Yeshwantpur,Evening,Sunny,31.4,0.0,88,2025.0,1.0,1.0,9.0,,,,,,58.0,50.0,15.5,7.5,Medium
2025-01-01,R4,KR Market to Yeshwantpur,Night,Foggy,31.7,0.0,35,2025.0,1.0,1.0,9.0,,,,,,58.0,50.0,15.5,7.5,Medium
2025-01-01,R5,Banashankari to ITPL,Morning,Cloudy,25.5,0.0,159,2025.0,1.0,1.0,9.0,,,,,,58.0,50.0,15.5,7.5,Medium
2025-01-01,R5,Banashankari to ITPL,Afternoon,Sunny,21.1,0.0,59,2025.0,1.0,1.0,9.0,,,,,,58.0,50.0,15.5,7.5,Medium
2025-01-01,R5,Banashankari to ITPL,Evening,Cloudy,28.0,0.0,161,2025.0,1.0,1.0,9.0,,,,,,58.0,50.0,15.5,7.5,Medium
2025-01-01,R5,Banashankari to ITPL,Night,Foggy,21.1,0.0,74,2025.0,1.0,1.0,9.0,,,,,,58.0,50.0,15.5,7.5,Medium
2025-01-01,R6,Electronic City to Majestic,Morning,Foggy,31.9,0.0,234,2025.0,1.0,1.0,9.0,,,,,,58.0,50.0,15.5,7.5,Medium
2025-01-01,R6,Electronic City to Majestic,Afternoon,Rainy,31.5,7.9,182,2025.0,1.0,1.0,9.0,,,,,,58.0,50.0,15.5,7.5,Medium
2025-01-01,R6,Electronic City to Majestic,Evening,Foggy,32.4,0.0,243,2025.0,1.0,1.0,9.0,,,,,,58.0,50.0,15.5,7.5,Medium
2025-01-01,R6,Electronic City to Majestic,Night,Cloudy,24.1,0.0,92,2025.0,1.0,1.0,9.0,,,,,,58.0,50.0,15.5,7.5,Medium
2025-01-01,R7,BTM to Marathahalli,Morning,Foggy,30.9,0.0,71,2025.0,1.0,1.0,9.0,,,,,,58.0,50.0,15.5,7.5,Medium
2025-01-01,R7,BTM to Marathahalli,Afternoon,Foggy,25.8,0.0,55,2025.0,1.0,1.0,9.0,,,,,,58.0,50.0,15.5,7.5,Medium
2025-01-01,R7,BTM to Marathahalli,Evening,Rainy,28.3,8.9,111,2025.0,1.0,1.0,9.0,,,,,,58.0,50.0,15.5,7.5,Medium
2025-01-01,R7,BTM to Marathahalli,Night,Foggy,28.4,0.0,34,2025.0,1.0,1.0,9.0,,,,,,58.0,50.0,15.5,7.5,Medium
2025-01-01,R8,Majestic to Airport,Morning,Sunny,32.3,0.0,160,2025.0,1.0,1.0,9.0,,,,,,58.0,50.0,15.5,7.5,Medium
2025-01-01,R8,Majestic to Airport,Afternoon,Cloudy,22.1,0.0,207,2025.0,1.0,1.0,9.0,,,,,,58.0,50.0,15.5,7.5,Medium
2025-01-01,R8,Majestic to Airport,Evening,Cloudy,31.9,0.0,265,2025.0,1.0,1.0,9.0,,,,,,58.0,50.0,15.5,7.5,Medium
2025-01-01,R8,Majestic to Airport,Night,Foggy,26.7,0.0,190,2025.0,1.0,1.0,9.0,,,,,,58.0,50.0,15.5,7.5,Medium
2025-01-01,R9,Madiwala to Peenya,Morning,Cloudy,23.4,0.0,149,2025.0,1.0,1.0,9.0,,,,,,58.0,50.0,15.5,7.5,Medium
2025-01-01,R9,Madiwala to Peenya,Afternoon,Rainy,25.2,9.7,85,2025.0,1.0,1.0,9.0,,,,,,58.0,50.0,15.5,7.5,Medium
2025-01-01,R9,Madiwala to Peenya,Evening,Rainy,23.1,4.5,191,2025.0,1.0,1.0,9.0,,,,,,58.0,50.0,15.5,7.5,Medium
2025-01-01,R9,Madiwala to Peenya,Night,Cloudy,30.0,0.0,48,2025.0,1.0,1.0,9.0,,,,,,58.0,50.0,15.5,7.5,Medium
2025-01-01,R10,Koramangala to MG Road,Morning,Foggy,26.3,0.0,51,2025.0,1.0,1.0,9.0,,,,,,58.0,50.0,15.5,7.5,Medium
2025-01-01,R10,Koramangala to MG Road,Afternoon,Sunny,30.7,0.0,37,2025.0,1.0,1.0,9.0,,,,,,58.0,50.0,15.5,7.5,Medium
2025-01-01,R10,Koramangala to MG Road,Evening,Cloudy,26.7,0.0,55,2025.0,1.0,1.0,9.0,,,,,,58.0,50.0,15.5,7.5,Medium
2025-01-01,R10,Koramangala to MG Road,Night,Sunny,28.2,0.0,30,2025.0,1.0,1.0,9.0,,,,,,58.0,50.0,15.5,7.5,Medium
2025-01-02,R1,Majestic to Whitefield,Morning,Foggy,31.1,0.0,163,2025.0,1.0,1.0,9.0,,,,,,58.0,50.0,15.5,7.5,Medium
2025-01-02,R1,Majestic to Whitefield,Afternoon,Foggy,25.8,0.0,111,2025.0,1.0,1.0,9.0,,,,,,58.0,50.0,15.5,7.5,Medium
2025-01-02,R1,Majestic to Whitefield,Evening,Rainy,27.9,3.2,159,2025.0,1.0,1.0,9.0,,,,,,58.0,50.0,15.5,7.5,Medium
2025-01-02,R1,Majestic to Whitefield,Night,Sunny,25.5,0.0,99,2025.0,1.0,1.0,9.0,,,,,,58.0,50.0,15.5,7.5,Medium
2025-01-02,R2,Majestic to BTM,Morning,Cloudy,21.4,0.0,59,2025.0,1.0,1.0,9.0,,,,,,58.0,50.0,15.5,7.5,Medium
